Date,Open,High,Low,Close,Adj Close,Volume,,,
20170124,119.550003,120.099998,119.5,119.970001,119.970001,23211000,,,
20170125,120.419998,122.099998,120.279999,121.879997,121.879997,32377600,,,
20170126,121.669998,122.440002,121.599998,121.940002,121.940002,26337600,,,
20170127,122.139999,122.349998,121.599998,121.949997,121.949997,20562900,,,
20170130,120.93,121.629997,120.660004,121.629997,121.629997,30377500,,,
20170131,121.150002,121.389999,120.620003,121.349998,121.349998,49201000,,,
20170201,127.029999,130.490005,127.010002,128.75,128.75,111985000,,,
20170202,127.980003,129.389999,127.779999,128.529999,128.529999,33710400,,,
20170203,128.309998,129.190002,128.160004,129.080002,129.080002,24507300,,,
20170206,129.130005,130.5,128.899994,130.289993,130.289993,26845900,,,
20170207,130.539993,132.089996,130.449997,131.529999,131.529999,38183800,,,
20170208,131.350006,132.220001,131.220001,132.039993,132.039993,23004100,,,
20170209,131.649994,132.449997,131.119995,132.419998,132.419998,28349900,,,
20170210,132.460007,132.940002,132.050003,132.119995,132.119995,20065500,,,
20170213,133.080002,133.820007,132.75,133.289993,133.289993,23035400,,,
20170214,133.470001,135.089996,133.25,135.020004,135.020004,33226200,,,
20170215,135.520004,136.270004,134.619995,135.509995,135.509995,35623100,,,
20170216,135.669998,135.899994,134.839996,135.350006,135.350006,22584600,,,
20170217,135.100006,135.830002,135.100006,135.720001,135.720001,22198200,,,
20170221,136.229996,136.75,135.979996,136.699997,136.699997,24507200,,,
20170222,136.429993,137.119995,136.110001,137.110001,137.110001,20836900,,,
20170223,137.380005,137.479996,136.300003,136.529999,136.529999,20788200,,,
20170224,135.910004,136.660004,135.279999,136.660004,136.660004,21776600,,,
20170227,137.139999,137.440002,136.279999,136.929993,136.929993,20257400,,,
20170228,137.080002,137.440002,136.699997,136.990005,136.990005,23482900,,,
20170301,137.889999,140.149994,137.600006,139.789993,139.789993,36414600,,,
20170302,140,140.279999,138.759995,138.960007,138.960007,26211000,,,
20170303,138.779999,139.830002,138.589996,139.779999,139.779999,21108100,,,
20170306,139.369995,139.770004,138.600006,139.339996,139.339996,21750000,,,
20170307,139.059998,139.979996,138.789993,139.520004,139.520004,17446300,,,
20170308,138.949997,139.800003,138.820007,139,139,18707200,,,
20170309,138.740005,138.789993,137.050003,138.679993,138.679993,22155900,,,
20170310,139.25,139.360001,138.639999,139.139999,139.139999,19612800,,,
20170313,138.850006,139.429993,138.820007,139.199997,139.199997,17421700,,,
20170314,139.300003,139.649994,138.839996,138.990005,138.990005,15309100,,,
20170315,139.410004,140.75,139.029999,140.460007,140.460007,25691800,,,
20170316,140.720001,141.020004,140.259995,140.690002,140.690002,19232000,,,
20170317,141,141,139.889999,139.990005,139.990005,43885000,,,
20170320,140.399994,141.5,140.229996,141.460007,141.460007,21542000,,,
20170321,142.110001,142.800003,139.729996,139.839996,139.839996,39529900,,,
20170322,139.850006,141.600006,139.759995,141.419998,141.419998,25860200,,,
20170323,141.259995,141.580002,140.610001,140.919998,140.919998,20346300,,,
20170324,141.5,141.740005,140.350006,140.639999,140.639999,22395600,,,
20170327,139.389999,141.220001,138.619995,140.880005,140.880005,23575100,,,
20170328,140.910004,144.039993,140.619995,143.800003,143.800003,33374800,,,
20170329,143.679993,144.490005,143.190002,144.119995,144.119995,29190000,,,
20170330,144.190002,144.5,143.5,143.929993,143.929993,21207300,,,
20170331,143.720001,144.270004,143.009995,143.660004,143.660004,19661700,,,
20170403,143.710007,144.119995,143.050003,143.699997,143.699997,19985700,,,
20170404,143.25,144.889999,143.169998,144.770004,144.770004,19891400,,,
20170405,144.220001,145.460007,143.809998,144.020004,144.020004,27717900,,,
20170406,144.289993,144.520004,143.449997,143.660004,143.660004,21149000,,,
20170407,143.729996,144.179993,143.270004,143.339996,143.339996,16672200,,,
20170410,143.600006,143.880005,142.899994,143.169998,143.169998,18933400,,,
20170411,142.940002,143.350006,140.059998,141.630005,141.630005,30379400,,,
20170412,141.600006,142.149994,141.009995,141.800003,141.800003,20350000,,,
20170413,141.910004,142.380005,141.050003,141.050003,141.050003,17822900,,,
20170417,141.479996,141.880005,140.869995,141.830002,141.830002,16582100,,,
20170418,141.410004,142.039993,141.110001,141.199997,141.199997,14697500,,,
20170419,141.880005,142,140.449997,140.679993,140.679993,17328400,,,
20170420,141.220001,142.919998,141.160004,142.440002,142.440002,23319600,,,
20170421,142.440002,142.679993,141.850006,142.270004,142.270004,17320900,,,
20170424,143.5,143.949997,143.179993,143.639999,143.639999,17134300,,,
20170425,143.910004,144.899994,143.869995,144.529999,144.529999,18871500,,,
20170426,144.470001,144.600006,143.380005,143.679993,143.679993,20041200,,,
20170427,143.919998,144.160004,143.309998,143.789993,143.789993,14246300,,,
20170428,144.089996,144.300003,143.270004,143.649994,143.649994,20860400,,,
20170501,145.100006,147.199997,144.960007,146.580002,146.580002,33602900,,,
20170502,147.539993,148.089996,146.839996,147.509995,147.509995,45352200,,,
20170503,145.589996,147.490005,144.270004,147.059998,147.059998,45697000,,,
20170504,146.520004,147.139999,145.809998,146.529999,146.529999,23371900,,,
20170505,146.759995,148.979996,146.759995,148.960007,148.960007,27327700,,,
20170508,149.029999,153.699997,149.029999,153.009995,153.009995,48752400,,,
20170509,153.869995,154.880005,153.449997,153.990005,153.990005,39130400,,,
20170510,153.630005,153.940002,152.110001,153.259995,153.259995,25805700,,,
20170511,152.449997,154.070007,152.309998,153.949997,153.949997,27255100,,,
20170512,154.699997,156.419998,154.669998,156.100006,156.100006,32527000,,,
20170515,156.009995,156.649994,155.050003,155.699997,155.699997,26009700,,,
20170516,155.940002,156.059998,154.720001,155.470001,155.470001,20048500,,,
20170517,153.600006,154.570007,149.710007,150.25,150.25,50767700,,,
20170518,151.270004,153.339996,151.130005,152.539993,152.539993,33568200,,,
20170519,153.380005,153.979996,152.630005,153.059998,153.059998,26960800,,,
